Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG	TRYP	231	Sus scrofa	Trypsin	1:Experimental evidence at protein level	46.75	1.0000	0.9990	8	7	8	81	78	81	2706708800	2706708800	2706708800	10K(304.2071), 12C(57.0214), 14K(304.2071), 17M(15.9949), 18K(304.2071), 20K(304.2071), 2C(57.0214), 2K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)			38173063.6270	36948837.1094	39147334.2227	38238857.4922	37294931.4609	41568868.8164	41874321.2168	42173425.8086	39938938.5430	44665273.8652	37275149.4238	34973875.9883	891046.2379	238086.7155	52201.0850	48506.2788
contam_sp|P02533|K1C14_HUMAN	P02533	K1C14_HUMAN	KRT14	472	Homo sapiens	Keratin, type I cytoskeletal 14	1:Experimental evidence at protein level	36.44	1.0000	0.9990	19	0	15	32	0	19	192604594	     0	192604594	10C(57.0214), 11K(304.2071), 12C(57.0214), 12K(304.2071), 13K(304.2071), 14K(304.2071), 19K(304.2071), 1C(57.0214), 3C(57.0214), 3M(15.9949), 5M(15.9949), 6M(15.9949), 7K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)		sp|P02533|K1C14_HUMAN	2416958.9014	1748883.0381	4924584.5117	2969581.2754	1650431.6914	2990357.0547	835465.3672	1924801.3174	1749238.3613	1545583.5972	1985610.3447	2874439.2656	96644.4326	64101.9789	0.0000	0.0000
contam_sp|P02538|K2C6A_HUMAN	P02538	K2C6A_HUMAN	KRT6A	564	Homo sapiens	Keratin, type II cytoskeletal 6A	1:Experimental evidence at protein level	32.62	1.0000	0.9990	20	0	10	41	0	11	794050834	     0	794050834	10K(304.2071), 11K(304.2071), 12K(304.2071), 17K(304.2071), 3K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)		sp|P02538|K2C6A_HUMAN	347799.5103	244230.0469	1550946.0039	585764.7539	413333.2393	645429.4102	151494.9570	703316.1914	235852.6621	520128.7090	1152435.8281	411425.0996	25530.4042	3865.5162	0.0000	0.0000
contam_sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	Serum albumin	1:Experimental evidence at protein level	8.21	1.0000	0.9987	6	0	1	15	0	3	109717740	     0	109717740	10C(57.0214), 12K(304.2071), 9C(57.0214), N-term(304.2071)		sp|P02768|ALBU_HUMAN	57182.6934	56733.3438	123652.3125	165891.0059	138182.4707	156659.9766	65078.6406	76131.8037	61332.7256	90720.4102	83694.4941	75890.0234	2364.0850	1674.1500	0.0000	0.0000
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin	1:Experimental evidence at protein level	75.95	1.0000	0.9990	62	50	62	151	123	151	338367672	280460956	338367672	10C(57.0214), 10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 11M(15.9949), 12C(57.0214), 12K(304.2071), 13C(57.0214), 13K(304.2071), 14C(57.0214), 14K(304.2071), 15C(57.0214), 15K(304.2071), 16K(304.2071), 17C(57.0214), 17K(304.2071), 18C(57.0214), 19K(304.2071), 1C(57.0214), 1C(57.0214), 1K(304.2071), 1M(15.9949), 20K(304.2071), 21C(57.0214), 21K(304.2071), 22C(57.0214), 22K(304.2071), 25K(304.2071), 27K(304.2071), 28K(304.2071), 29K(304.2071), 2C(57.0214), 2K(304.2071), 30C(57.0214), 31K(304.2071), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4C(57.0214), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5K(304.2071), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			17891208.2129	18732219.8359	41916317.3740	42378963.3008	35096049.3574	37434497.9336	20508118.8389	26120020.0684	23590369.3672	21331194.2539	24515584.3818	21438281.1562	712848.5200	422076.9009	0.0000	1255.1824
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	52.17	1.0000	0.9990	42	0	42	112	0	112	417447768	     0	417447768	10K(304.2071), 11K(304.2071), 11M(15.9949), 12K(304.2071), 15K(304.2071), 1K(304.2071), 22K(304.2071), 2K(304.2071), 2M(15.9949), 3K(304.2071), 4C(57.0214), 5K(304.2071), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)		sp|P04264|K2C1_HUMAN	15880324.1533	8289170.1318	55337321.1865	26840075.6094	7446393.0415	21017747.1953	3621122.0686	10651139.1294	22903451.0991	5970982.3086	9745012.5010	20670910.9609	412356.3135	201459.7640	15286.6469	11073.6873
contam_sp|P05783|K1C18_HUMAN	P05783	K1C18_HUMAN	KRT18	430	Homo sapiens	Keratin, type I cytoskeletal 18	1:Experimental evidence at protein level	10.93	1.0000	0.9990	6	0	5	8	0	6	107665788	     0	107665788	12M(15.9949), 1K(304.2071), 9K(304.2071), N-term(304.2071)		sp|P05783|K1C18_HUMAN	508522.8750	578865.8477	646907.9609	884384.8047	864959.9805	792522.8086	392934.7422	483593.8477	355652.1562	617269.1797	687463.8984	462653.8027	10914.8051	2553.8169	0.0000	0.0000
contam_sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	Homo sapiens	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	19.25	1.0000	0.9990	12	0	6	42	0	6	1292826192	     0	1292826192	10K(304.2071), 11K(304.2071), 6M(15.9949), 9K(304.2071), N-term(304.2071)		sp|P05787|K2C8_HUMAN	253691.6953	297520.0508	326354.6406	449987.3047	482986.0078	427714.6875	252177.6953	303316.5156	241505.4414	358988.9883	398492.7734	259876.4824	12616.4128	4671.1915	0.0000	0.0000
contam_sp|P07901|HS90A_MOUSE	P07901	HS90A_MOUSE	Hsp90aa1	733	Mus musculus	Heat shock protein HSP 90-alpha	1:Experimental evidence at protein level	57.84	1.0000	0.9989	60	1	1	330	4	4	668271968	4194432	668271968	13K(304.2071), N-term(304.2071)			137125.1895	149131.3340	169192.3711	160305.2734	161603.6602	144969.9590	124590.7402	156268.8115	113813.4980	117738.4492	118546.6328	95653.8271	3633.5129	1578.5878	0.0000	0.0000
contam_sp|P10096|G3P_BOVIN	P10096	G3P_BOVIN	GAPDH	333	Bos taurus	Glyceraldehyde-3-phosphate dehydrogenase	1:Experimental evidence at protein level	39.64	1.0000	0.9979	15	2	3	123	2	10	2113892960	2352317	2113892960	12M(15.9949), 18K(304.2071), 21K(304.2071), 27K(304.2071), 4M(15.9949), N-term(304.2071)			520169.6016	454808.1406	463593.8789	364786.2578	310233.4629	351929.2969	629203.1562	831556.4297	628519.1289	364256.1621	232373.9277	246272.1367	0.0000	0.0000	0.0000	0.0000
