Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	55.84	1.0000	0.9990	0.00000000000000	10	9	10	111	107	111	3572318592	3572318592	3572318592	10K(304.2072), 11M(15.9949), 12C(57.0215), 13C(57.0215), 14K(304.2072), 17M(15.9949), 18K(304.2072), 20K(304.2072), 21K(304.2072), 2C(57.0215), 2K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			42098497.2358	50570696.3789	53969229.8369	56250133.7578	55431887.5381	54897853.6860	51105925.3633	51316247.1089	51399025.8267	51082954.6040	44825988.6553	47259348.9531	904286.2113	168028.6656	20213.1105	2686.3308
contam_sp|P02533|K1C14_HUMAN	P02533	K1C14_HUMAN	KRT14	472	false	true	Homo sapiens	Keratin, type I cytoskeletal 14	1:Experimental evidence at protein level	29.45	1.0000	0.9990	0.00000000000000	17	0	13	28	0	17	80250284	     0	80250284	11K(304.2072), 12K(304.2072), 13K(304.2072), 2K(304.2072), 3C(57.0215), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)		sp|P02533|K1C14_HUMAN	434818.0459	417676.1582	461568.0342	1104931.7969	410499.3809	532302.4668	669125.6465	396172.3623	280699.0713	274888.5684	383464.4023	454202.5947	10836.9156	1927.1088	0.0000	0.0000
contam_sp|P02538|K2C6A_HUMAN	P02538	K2C6A_HUMAN	KRT6A	564	false	true	Homo sapiens	Keratin, type II cytoskeletal 6A	1:Experimental evidence at protein level	36.17	1.0000	0.9990	0.00000000000000	24	0	10	42	0	11	300015740	     0	300015740	11K(304.2072), 17K(304.2072), 3K(304.2072), 6M(15.9949), 9C(57.0215), 9K(304.2072), N-term(304.2072)		contam_sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P48668|K2C6C_HUMAN	292592.8506	227430.5664	224978.3647	606423.6016	210518.2490	397146.0938	283979.1436	290534.9121	215912.0098	185329.8538	399311.7871	271826.4443	10351.3630	0.0000	0.0000	0.0000
contam_sp|P02754|LACB_BOVIN	P02754	LACB_BOVIN	LGB	178	false	true	Bos taurus	Beta-lactoglobulin	1:Experimental evidence at protein level	21.91	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	7409022	7409022	7409022	10K(304.2072), 12C(57.0215), 4M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			278005.5439	254013.6113	322051.7793	246531.2627	233864.3984	223393.5879	249424.2920	260566.6260	257880.0430	230299.1357	224733.7207	214933.1826	6020.9492	3498.5056	0.0000	0.0000
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	true	Bos taurus	Serum albumin	1:Experimental evidence at protein level	72.82	1.0000	0.9990	0.00000000000000	57	45	57	161	128	161	391421496	277199260	391421496	10C(57.0215), 10K(304.2072), 11C(57.0215), 11K(304.2072), 12K(304.2072), 13C(57.0215), 13K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 18C(57.0215), 18K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 1M(15.9949), 21K(304.2072), 22K(304.2072), 25K(304.2072), 2C(57.0215), 2K(304.2072), 3C(57.0215), 3K(304.2072), 3M(15.9949), 4C(57.0215), 4K(304.2072), 5C(57.0215), 5K(304.2072), 6C(57.0215), 6M(15.9949), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			15186383.9375	11799556.8486	29471686.8906	8530336.1650	9868685.8418	8133446.1270	13103383.5537	10630501.4297	13846391.7188	9881307.3447	8626048.7178	7305208.9946	267071.9155	166688.9397	0.0000	0.0000
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	true	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	47.98	1.0000	0.9990	0.00000000000000	38	0	38	93	0	93	100916810	     0	100916810	10K(304.2072), 11K(304.2072), 11M(15.9949), 12K(304.2072), 1K(304.2072), 2K(304.2072), 2M(15.9949), 3K(304.2072), 4C(57.0215), 5M(15.9949), 6K(304.2072), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)		sp|P04264|K2C1_HUMAN	6604579.4697	5695495.2100	5707352.9844	6609937.7998	5683779.4424	3772962.3159	10496109.0889	4086849.6357	4382573.1748	3003680.2427	3639513.0737	3112900.1660	84328.9542	53097.5924	0.0000	0.0000
contam_sp|P07901|HS90A_MOUSE	P07901	HS90A_MOUSE	Hsp90aa1	733	false	true	Mus musculus	Heat shock protein HSP 90-alpha	1:Experimental evidence at protein level	59.35	1.0000	0.9990	0.00000000000000	55	2	2	280	13	13	636267984	8930160	636267984	13K(304.2072), N-term(304.2072)			626361.9453	546850.6738	861394.5234	938337.8125	948269.8086	975774.9043	380272.6768	443785.2832	440158.2998	507166.8359	422379.8184	472090.1914	16582.9169	2784.7415	0.0000	0.0000
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	true	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	32.71	1.0000	0.9990	0.00000000000000	24	0	24	61	0	61	90655858	     0	90655858	12K(304.2072), 17K(304.2072), 19K(304.2072), 2K(304.2072), 3M(15.9949), 5C(57.0215), 6M(15.9949), 7K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P13645|K1C10_HUMAN	4717166.1455	2663905.9805	3123040.0752	3157340.9219	3570124.0342	2592697.5869	6148590.4199	2712763.2441	2367690.6270	1886650.3662	2488498.1699	1437439.6367	56455.8357	14575.4879	0.0000	0.0000
contam_sp|P13647|K2C5_HUMAN	P13647	K2C5_HUMAN	KRT5	590	false	true	Homo sapiens	Keratin, type II cytoskeletal 5	1:Experimental evidence at protein level	33.22	1.0000	0.9990	0.00000000000000	24	0	15	42	0	19	297369550	     0	297369550	10K(304.2072), 11K(304.2072), 2C(57.0215), 2K(304.2072), 3K(304.2072), 5M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)		sp|P13647|K2C5_HUMAN	759866.9434	640269.8828	775339.3242	1136314.4102	731564.7988	611272.6309	1232417.8223	661143.5332	513199.0527	477522.0938	571197.8330	601983.9414	16979.1862	8103.9736	0.0000	0.0000
contam_sp|P15497|APOA1_BOVIN	P15497	APOA1_BOVIN	APOA1	265	false	true	Bos taurus	Apolipoprotein A-I	1:Experimental evidence at protein level	18.11	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	6204042	6204042	6204042	11K(304.2072), 12K(304.2072), 7K(304.2072), N-term(304.2072)			59552.8291	53336.4038	98266.5430	82627.7637	86301.3105	87502.6689	271428.5000	253682.8125	255300.4492	369234.4531	404159.0820	341850.3086	13641.3271	2442.0493	0.0000	0.0000
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	true	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	34.99	1.0000	0.9990	0.00000000000000	20	0	19	41	0	39	88910634	     0	88910634	10K(304.2072), 14K(304.2072), 15K(304.2072), 1K(304.2072), 23K(304.2072), 2K(304.2072), 3M(15.9949), 5M(15.9949), 7K(304.2072), 8K(304.2072), 8M(15.9949), N-term(304.2072)		sp|P35527|K1C9_HUMAN	1512945.7158	3387401.3535	2541862.9180	3757484.4004	2021540.3633	1302580.6113	3875780.5176	1093499.4814	1747149.4805	1333502.0850	1127320.4482	1773684.3291	40988.8909	27228.9375	0.0000	0.0000
contam_sp|P35747|ALBU_HORSE	P35747	ALBU_HORSE	ALB	607	false	true	Equus caballus	Serum albumin	1:Experimental evidence at protein level	11.20	1.0000	0.9970	0.00116395078151	10	2	2	21	2	2	266252758	8728841	266252758	7K(304.2072), 8K(304.2072), N-term(304.2072)			94015.1387	68809.3008	184626.7969	78521.9844	110005.5078	76788.2734	60574.7754	58537.2832	109017.1719	68278.4941	62270.2949	69093.0332	2553.0234	0.0000	0.0000	0.0000
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	true	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	46.48	1.0000	0.9990	0.00000000000000	30	0	27	61	0	53	71466848	     0	71466848	10M(15.9949), 11K(304.2072), 12K(304.2072), 15K(304.2072), 18K(304.2072), 19K(304.2072), 1K(304.2072), 20K(304.2072), 2K(304.2072), 6K(304.2072), 6M(15.9949), 7C(57.0215), 7K(304.2072), 7M(15.9949), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P35908|K22E_HUMAN	3751907.6733	2330639.0015	2652927.7041	3254715.0303	3303900.1045	3171216.7075	5614499.7402	2515985.9619	2078338.2344	1834560.4238	2544431.7285	1558752.8008	53971.2697	31695.1487	0.0000	0.0000
contam_sp|P60712|ACTB_BOVIN	P60712	ACTB_BOVIN	ACTB	375	false	true	Bos taurus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	75.47	1.0000	0.9990	0.00000000000000	28	0	28	380	0	380	2107571072	     0	2107571072	10K(304.2072), 10M(15.9949), 11K(304.2072), 12M(15.9949), 13M(15.9949), 14K(304.2072), 14M(15.9949), 15M(15.9949), 16C(57.0215), 17K(304.2072), 18C(57.0215), 18K(304.2072), 1C(57.0215), 1K(304.2072), 23K(304.2072), 25K(304.2072), 27M(15.9949), 28K(304.2072), 29M(15.9949), 2C(57.0215), 2K(304.2072), 30K(304.2072), 3C(57.0215), 4C(57.0215), 5M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), N-term(304.2072), N-term(42.0106)		sp|P60709|ACTB_HUMAN	73936575.0171	69330125.4648	119630884.0469	74561411.4648	81207494.4170	75122580.7812	55022658.3760	73588614.9854	82167258.1182	60721189.3135	46630358.8716	43256967.2671	1228332.5782	571101.7697	2979.8933	0.0000
contam_sp|Q3SX14|GELS_BOVIN	Q3SX14	GELS_BOVIN	GSN	731	false	true	Bos taurus	Gelsolin	2:Experimental evidence at transcript level	27.50	1.0000	0.9990	0.00000000000000	25	3	3	41	3	3	63257960	11133052	63257960	10K(304.2072), 22K(304.2072), 9K(304.2072), N-term(304.2072)			69912.2988	51454.2314	104917.5625	65836.8613	74151.3506	65356.7695	45758.1914	39652.5024	53442.9580	43576.1084	40286.1704	39905.4121	0.0000	0.0000	0.0000	0.0000
contam_sp|Q3ZBD7|G6PI_BOVIN	Q3ZBD7	G6PI_BOVIN	GPI	557	false	true	Bos taurus	Glucose-6-phosphate isomerase	2:Experimental evidence at transcript level	18.13	1.0000	0.9990	0.00000000000000	10	2	2	35	3	3	85268459	22629131	85268459	15K(304.2072), 23K(304.2072), N-term(304.2072)			226096.5879	191272.9199	326890.6953	315867.8184	351325.3672	291608.1133	172887.1348	171424.5469	184909.9258	186890.3477	155990.1641	166988.1689	1573.3448	0.0000	0.0000	0.0000
